host_id,title,description,address,lat,lng,bathroom_count,bed_count,bedroom_count,header_count_capacity,cleaning_fee,daily_price,lodging_tax_ratio,sale_ratio,service_fee,rating_star_score,review_count
309,김이 모텔,Laboriosam tenetur id vero quam. Eius repellendus possimus consectetur adipisci consequuntur fugiat inventore. Nihil doloribus iure.,부산광역시 강남구 언주가 (민지홍읍),34.8825,128.62667,1,1,3,3,5700,692105,10,6,3300,2.79,96
99,유한회사 이박김 한옥,Expedita voluptatibus officia ratione ut ad. Reprehenderit dolorum numquam illo neque. Impedit molestias deserunt aliquam. Ab iste molestias cum hic explicabo voluptates.,제주특별자치도 태백시 개포4거리 (영일강김마을),36.82167,128.63083,3,4,3,3,4000,102084,10,6,3900,3.25,231
688,(주) 김백김 멘션,Illum reiciendis necessitatibus facere amet tempore distinctio. Sequi necessitatibus ipsam id maxime at ex.,부산광역시 강남구 삼성804거리 (수빈한면),37.1759,128.9889,3,3,5,3,6700,267280,10,4,1700,1.05,300
782,김안 게스트하우스,"Corrupti maxime aspernatur dolore aliquid nihil totam. Eum asperiores nemo sapiente.
Architecto et deleniti. Explicabo itaque corrupti aliquam quas ea commodi dignissimos.",경기도 원주시 영동대길,36.6009,126.665,2,4,5,7,3200,447454,10,3,4300,4.6,388
337,박조 도미토리,"Voluptatem officiis expedita debitis. Iste vel aliquam. Consequatur consequatur provident nihil fugit aliquam. Voluptatum fuga maxime facilis.
Veniam quas ut saepe quod dolorem. Neque inventore ad.",경상북도 진천군 도산대가 (미경오김동),36.6009,126.665,3,1,3,2,8800,336369,10,4,3300,3.19,139
1922,주식회사 김 멘션,"Facere quia beatae at eos labore.
A voluptates molestiae harum. Eos voluptatem corporis sed. Exercitationem numquam voluptates et. Exercitationem amet vel occaecati corporis est.",부산광역시 금천구 서초대로,37.65639,126.835,2,3,3,5,8100,43754,10,6,3100,4.95,78
187,박최박 민박,"Odio vel aperiam quo cumque ullam mollitia. Ab blanditiis exercitationem voluptatibus dicta fuga.
Porro impedit necessitatibus officiis eius corporis facilis.",대구광역시 성북구 오금064거리 (미경이리),37.1759,128.9889,3,3,5,7,7900,552468,10,5,1100,3.57,41
141,주식회사 김류김 게스트하우스,Est fuga unde hic hic. Accusamus in ex perspiciatis qui. Ex placeat quae laudantium. Molestiae animi recusandae incidunt itaque incidunt.,대구광역시 강북구 압구정길 (영철강읍),37.65639,126.835,1,3,2,6,5100,481671,10,2,4300,1.91,170
1359,김김 아파트,Voluptas cumque cumque architecto cupiditate. Excepturi ipsa ipsum tempora adipisci cum commodi.,서울특별시 광진구 언주로 (건우김김마을),34.8825,128.62667,3,5,5,9,2300,309222,10,7,3300,4.84,407
1085,유한회사 윤 모텔,Aliquam occaecati error. Ducimus optio recusandae sapiente harum. Aliquam blanditiis ex dolorem. Aliquid molestiae consequuntur nostrum aut.,경상북도 광주시 언주길 (건우장황면),36.6009,126.665,2,3,3,7,4700,496855,10,2,3300,1.79,15
